,Year,Team,Wins,Losses,Percent,Games Back,PPG,OPPG,SRS
0,2024,Boston Celtics,64,18,.780,—,120.6,109.2,10.75
1,2024,New York Knicks,50,32,.610,14.0,112.8,108.2,4.36
2,2024,Milwaukee Bucks,49,33,.598,15.0,119.0,116.4,2.44
3,2024,Cleveland Cavaliers,48,34,.585,16.0,112.6,110.2,1.98
4,2024,Orlando Magic,47,35,.573,17.0,110.5,108.4,1.48
5,2024,Indiana Pacers,47,35,.573,17.0,123.3,120.2,2.75
6,2024,Philadelphia 76ers,47,35,.573,17.0,114.6,111.5,2.51
7,2024,Miami Heat,46,36,.561,18.0,110.1,108.4,1.10
8,2024,Chicago Bulls,39,43,.476,25.0,112.3,113.7,-1.77
9,2024,Atlanta Hawks,36,46,.439,28.0,118.3,120.5,-2.38
10,2024,Brooklyn Nets,32,50,.390,32.0,110.4,113.3,-3.02
11,2024,Toronto Raptors,25,57,.305,39.0,112.4,118.8,-6.45
12,2024,Charlotte Hornets,21,61,.256,43.0,106.6,116.8,-10.12
13,2024,Washington Wizards,15,67,.183,49.0,113.7,123.0,-9.29
14,2024,Detroit Pistons,14,68,.171,50.0,109.9,119.0,-9.06
15,2024,Boston Celtics,64,18,.780,—,120.6,109.2,10.75
16,2024,New York Knicks,50,32,.610,14.0,112.8,108.2,4.36
17,2024,Milwaukee Bucks,49,33,.598,15.0,119.0,116.4,2.44
18,2024,Cleveland Cavaliers,48,34,.585,16.0,112.6,110.2,1.98
19,2024,Orlando Magic,47,35,.573,17.0,110.5,108.4,1.48
20,2024,Indiana Pacers,47,35,.573,17.0,123.3,120.2,2.75
21,2024,Philadelphia 76ers,47,35,.573,17.0,114.6,111.5,2.51
22,2024,Miami Heat,46,36,.561,18.0,110.1,108.4,1.10
23,2024,Chicago Bulls,39,43,.476,25.0,112.3,113.7,-1.77
24,2024,Atlanta Hawks,36,46,.439,28.0,118.3,120.5,-2.38
25,2024,Brooklyn Nets,32,50,.390,32.0,110.4,113.3,-3.02
26,2024,Toronto Raptors,25,57,.305,39.0,112.4,118.8,-6.45
27,2024,Charlotte Hornets,21,61,.256,43.0,106.6,116.8,-10.12
28,2024,Washington Wizards,15,67,.183,49.0,113.7,123.0,-9.29
29,2024,Detroit Pistons,14,68,.171,50.0,109.9,119.0,-9.06
30,2024,Boston Celtics,64,18,.780,—,120.6,109.2,10.75
31,2024,New York Knicks,50,32,.610,14.0,112.8,108.2,4.36
32,2024,Milwaukee Bucks,49,33,.598,15.0,119.0,116.4,2.44
33,2024,Cleveland Cavaliers,48,34,.585,16.0,112.6,110.2,1.98
34,2024,Orlando Magic,47,35,.573,17.0,110.5,108.4,1.48
35,2024,Indiana Pacers,47,35,.573,17.0,123.3,120.2,2.75
36,2024,Philadelphia 76ers,47,35,.573,17.0,114.6,111.5,2.51
37,2024,Miami Heat,46,36,.561,18.0,110.1,108.4,1.10
38,2024,Chicago Bulls,39,43,.476,25.0,112.3,113.7,-1.77
39,2024,Atlanta Hawks,36,46,.439,28.0,118.3,120.5,-2.38
40,2024,Brooklyn Nets,32,50,.390,32.0,110.4,113.3,-3.02
41,2024,Toronto Raptors,25,57,.305,39.0,112.4,118.8,-6.45
42,2024,Charlotte Hornets,21,61,.256,43.0,106.6,116.8,-10.12
43,2024,Washington Wizards,15,67,.183,49.0,113.7,123.0,-9.29
44,2024,Detroit Pistons,14,68,.171,50.0,109.9,119.0,-9.06
45,2024,Oklahoma City Thunder,57,25,.695,—,120.1,112.7,7.36
46,2024,Denver Nuggets,57,25,.695,—,114.9,109.6,5.23
47,2024,Minnesota Timberwolves,56,26,.683,1.0,113.0,106.5,6.39
48,2024,Los Angeles Clippers,51,31,.622,6.0,115.6,112.3,3.41
49,2024,Dallas Mavericks,50,32,.610,7.0,117.9,115.6,2.30
50,2024,Phoenix Suns,49,33,.598,8.0,116.2,113.2,3.08
51,2024,New Orleans Pelicans,49,33,.598,8.0,115.1,110.7,4.46
52,2024,Los Angeles Lakers,47,35,.573,10.0,118.0,117.4,1.07
53,2024,Sacramento Kings,46,36,.561,11.0,116.6,114.8,2.29
54,2024,Golden State Warriors,46,36,.561,11.0,117.8,115.2,2.77
55,2024,Houston Rockets,41,41,.500,16.0,114.3,113.2,1.24
56,2024,Utah Jazz,31,51,.378,26.0,115.7,120.5,-4.22
57,2024,Memphis Grizzlies,27,55,.329,30.0,105.8,112.8,-6.57
58,2024,San Antonio Spurs,22,60,.268,35.0,112.1,118.6,-5.80
59,2024,Portland Trail Blazers,21,61,.256,36.0,106.4,115.4,-8.29
60,2024,Oklahoma City Thunder,57,25,.695,—,120.1,112.7,7.36
61,2024,Denver Nuggets,57,25,.695,—,114.9,109.6,5.23
62,2024,Minnesota Timberwolves,56,26,.683,1.0,113.0,106.5,6.39
63,2024,Los Angeles Clippers,51,31,.622,6.0,115.6,112.3,3.41
64,2024,Dallas Mavericks,50,32,.610,7.0,117.9,115.6,2.30
65,2024,Phoenix Suns,49,33,.598,8.0,116.2,113.2,3.08
66,2024,New Orleans Pelicans,49,33,.598,8.0,115.1,110.7,4.46
67,2024,Los Angeles Lakers,47,35,.573,10.0,118.0,117.4,1.07
68,2024,Sacramento Kings,46,36,.561,11.0,116.6,114.8,2.29
69,2024,Golden State Warriors,46,36,.561,11.0,117.8,115.2,2.77
70,2024,Houston Rockets,41,41,.500,16.0,114.3,113.2,1.24
71,2024,Utah Jazz,31,51,.378,26.0,115.7,120.5,-4.22
72,2024,Memphis Grizzlies,27,55,.329,30.0,105.8,112.8,-6.57
73,2024,San Antonio Spurs,22,60,.268,35.0,112.1,118.6,-5.80
74,2024,Portland Trail Blazers,21,61,.256,36.0,106.4,115.4,-8.29
75,2024,Oklahoma City Thunder,57,25,.695,—,120.1,112.7,7.36
76,2024,Denver Nuggets,57,25,.695,—,114.9,109.6,5.23
77,2024,Minnesota Timberwolves,56,26,.683,1.0,113.0,106.5,6.39
78,2024,Los Angeles Clippers,51,31,.622,6.0,115.6,112.3,3.41
79,2024,Dallas Mavericks,50,32,.610,7.0,117.9,115.6,2.30
80,2024,Phoenix Suns,49,33,.598,8.0,116.2,113.2,3.08
81,2024,New Orleans Pelicans,49,33,.598,8.0,115.1,110.7,4.46
82,2024,Los Angeles Lakers,47,35,.573,10.0,118.0,117.4,1.07
83,2024,Sacramento Kings,46,36,.561,11.0,116.6,114.8,2.29
84,2024,Golden State Warriors,46,36,.561,11.0,117.8,115.2,2.77
85,2024,Houston Rockets,41,41,.500,16.0,114.3,113.2,1.24
86,2024,Utah Jazz,31,51,.378,26.0,115.7,120.5,-4.22
87,2024,Memphis Grizzlies,27,55,.329,30.0,105.8,112.8,-6.57
88,2024,San Antonio Spurs,22,60,.268,35.0,112.1,118.6,-5.80
89,2024,Portland Trail Blazers,21,61,.256,36.0,106.4,115.4,-8.29
90,2023,Milwaukee Bucks,58,24,.707,—,116.9,113.3,3.61
91,2023,Boston Celtics,57,25,.695,1.0,117.9,111.4,6.38
92,2023,Philadelphia 76ers,54,28,.659,4.0,115.2,110.9,4.37
93,2023,Cleveland Cavaliers,51,31,.622,7.0,112.3,106.9,5.23
94,2023,New York Knicks,47,35,.573,11.0,116.0,113.1,2.99
95,2023,Brooklyn Nets,45,37,.549,13.0,113.4,112.5,1.03
96,2023,Miami Heat,44,38,.537,14.0,109.5,109.8,-0.13
97,2023,Atlanta Hawks,41,41,.500,17.0,118.4,118.1,0.32
98,2023,Toronto Raptors,41,41,.500,17.0,112.9,111.4,1.59
99,2023,Chicago Bulls,40,42,.488,18.0,113.1,111.8,1.37
100,2023,Indiana Pacers,35,47,.427,23.0,116.3,119.5,-2.91
101,2023,Washington Wizards,35,47,.427,23.0,113.2,114.4,-1.06
102,2023,Orlando Magic,34,48,.415,24.0,111.4,114.0,-2.39
103,2023,Charlotte Hornets,27,55,.329,31.0,111.0,117.2,-5.89
104,2023,Detroit Pistons,17,65,.207,41.0,110.3,118.5,-7.73
105,2023,Milwaukee Bucks,58,24,.707,—,116.9,113.3,3.61
106,2023,Boston Celtics,57,25,.695,1.0,117.9,111.4,6.38
107,2023,Philadelphia 76ers,54,28,.659,4.0,115.2,110.9,4.37
