,Unnamed: 0,Name,All-Star Year,Age,Team,League,Position,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,First Appearance
0,0,Jayson Tatum,2023,24,BOS,NBA,SF,74,74,36.9,9.8,21.1,0.466,3.2,9.3,.350,6.6,11.8,0.5579999999999999,0.5429999999999999,7.2,8.4,0.8540000000000001,1.1,7.7,8.8,4.6,1.1,0.7,2.9,2.2,30.1,3,False
1,1,Donovan Mitchell,2023,26,CLE,NBA,SG,68,68,35.8,10.0,20.6,0.484,3.6,9.3,.386,6.4,11.3,0.5660000000000001,0.5720000000000001,4.7,5.4,0.867,0.9,3.3,4.3,4.4,1.5,0.4,2.6,2.5,28.3,2,False
2,2,Lauri Markkanen,2023,25,UTA,NBA,PF,66,66,34.4,8.7,17.3,0.499,3.0,7.7,.391,5.6,9.6,0.585,0.586,5.3,6.0,0.875,2.0,6.7,8.6,1.9,0.6,0.6,1.9,2.1,25.6,0,True
3,3,Ja Morant,2023,23,MEM,NBA,PG,61,59,31.9,9.3,19.9,0.466,1.5,4.9,.307,7.8,15.0,0.519,0.504,6.1,8.1,0.748,1.0,4.9,5.9,8.1,1.1,0.3,3.4,1.6,26.2,1,False
4,4,Giannis Antetokounmpo,2023,28,MIL,NBA,PF,63,63,32.1,11.2,20.3,0.5529999999999999,0.7,2.7,.275,10.5,17.6,0.596,0.5720000000000001,7.9,12.3,0.645,2.2,9.6,11.8,5.7,0.8,0.8,3.9,3.1,31.1,6,False
5,5,Bam Adebayo,2023,25,MIA,NBA,C,75,75,34.6,8.0,14.9,0.54,0.0,0.2,.083,8.0,14.7,0.545,0.541,4.3,5.4,0.8059999999999999,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,1,False
6,6,Damian Lillard,2023,32,POR,NBA,PG,58,58,36.3,9.6,20.7,0.46299999999999997,4.2,11.3,.371,5.4,9.4,0.574,0.564,8.8,9.6,0.914,0.8,4.0,4.8,7.3,0.9,0.3,3.3,1.9,32.2,5,False
7,7,DeMar DeRozan,2023,33,CHI,NBA,SF,74,74,36.2,8.9,17.6,0.504,0.6,1.9,.324,8.3,15.7,0.526,0.522,6.2,7.1,0.872,0.5,4.2,4.6,5.1,1.1,0.5,2.1,2.5,24.5,5,False
8,8,Pascal Siakam,2023,28,TOR,NBA,PF,71,71,37.4,8.9,18.5,0.48,1.3,4.0,.324,7.6,14.5,0.523,0.515,5.2,6.7,0.774,1.8,6.0,7.8,5.8,0.9,0.5,2.4,3.2,24.2,1,False
9,9,Domantas Sabonis,2023,26,SAC,NBA,C,79,79,34.6,7.3,11.9,0.615,0.4,1.1,.373,6.9,10.8,0.639,0.632,4.1,5.5,0.742,3.2,9.1,12.3,7.3,0.8,0.5,2.9,3.5,19.1,2,False
