,Year,Name,Position,Age,Team,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star
97,2024,Joel Embiid,C,29,PHI,77,77,34.8,10.9,21.3,.510,1.1,3.3,.322,9.8,18.1,.545,.535,10.5,12.0,.875,3.4,8.1,11.5,6.4,1.0,1.9,3.7,2.8,33.3,5,.667,1.5633802816901408,99.92
8,2024,Giannis Antetokounmpo,PF,29,MIL,80,80,34.6,11.8,19.1,.614,0.4,1.8,.243,11.3,17.4,.652,.626,6.6,10.0,.657,2.7,7.9,10.6,5.0,1.4,1.3,4.0,3.1,30.5,7,.682,1.5968586387434553,99.56
132,2024,Tyrese Haliburton,PG,23,IND,77,77,34.4,9.4,17.9,.525,3.9,8.9,.441,5.4,8.9,.609,.635,4.2,4.8,.884,0.7,3.4,4.2,12.1,1.0,0.7,2.2,1.1,26.9,1,.600,1.5027932960893855,98.83
206,2024,Damian Lillard,PG,33,MIL,79,79,35.3,7.4,17.1,.431,3.0,8.4,.357,4.4,8.7,.503,.519,7.9,8.5,.924,0.7,3.9,4.6,7.0,1.1,0.2,2.8,1.6,25.6,6,.682,1.4970760233918128,92.86
394,2024,Trae Young,PG,25,ATL,78,78,36.1,8.3,20.1,.412,3.1,8.7,.352,5.2,11.4,.458,.488,7.6,8.8,.868,0.7,2.1,2.8,10.6,1.5,0.1,3.8,1.5,27.2,2,.429,1.353233830845771,91.39
226,2024,Tyrese Maxey,PG,23,PHI,79,79,38.4,9.4,20.1,.465,3.3,8.2,.399,6.1,12.0,.510,.546,5.2,5.8,.896,0.6,3.7,4.3,6.7,0.9,0.7,1.4,2.0,27.1,0,.667,1.3482587064676617,90.71
339,2024,Jayson Tatum,PF,25,BOS,80,80,36.7,9.6,19.4,.496,3.0,8.6,.356,6.6,10.8,.608,.575,5.2,6.6,.790,0.7,8.0,8.7,4.2,1.1,0.3,3.2,2.2,27.5,4,.762,1.4175257731958764,89.63
1,2024,Bam Adebayo,C,26,MIA,75,75,33.6,8.3,15.8,.522,0.1,0.2,.333,8.2,15.6,.524,.524,5.7,7.0,.813,2.1,7.9,9.9,3.9,1.2,1.0,2.4,2.4,22.3,2,.545,1.4113924050632911,87.21
246,2024,Donovan Mitchell,SG,27,CLE,76,76,35.6,9.5,20.9,.455,3.0,8.4,.357,6.5,12.5,.521,.527,5.5,6.4,.870,1.1,4.8,5.9,5.3,1.9,0.4,2.8,1.9,27.6,3,.591,1.320574162679426,85.94
54,2024,Jimmy Butler,PF,34,MIA,77,77,34.1,6.8,14.9,.459,1.0,2.6,.391,5.8,12.3,.473,.493,7.2,8.2,.884,2.0,3.2,5.2,4.1,1.2,0.4,1.7,0.9,21.9,4,.545,1.4697986577181206,77.7
48,2024,Jalen Brunson,PG,27,NYK,80,80,35.4,8.9,19.1,.466,3.0,6.8,.441,5.9,12.3,.481,.545,4.0,5.0,.808,0.6,3.0,3.6,5.5,1.0,0.0,2.0,2.1,24.8,0,.571,1.2984293193717278,75.21
80,2024,DeMar DeRozan,SF,34,CHI,80,80,35.6,7.6,17.2,.442,0.9,2.5,.358,6.7,14.7,.456,.468,5.6,7.0,.803,0.9,2.7,3.6,5.0,1.0,0.8,1.3,2.0,21.8,6,.391,1.2674418604651163,72.76
15,2024,Paolo Banchero,PF,21,ORL,81,81,33.5,7.5,15.3,.494,1.3,3.1,.406,6.3,12.1,.517,.536,4.4,6.4,.686,1.3,5.4,6.7,4.5,1.0,0.6,3.0,2.4,20.7,0,.682,1.352941176470588,68.3
13,2024,LaMelo Ball,PG,22,CHO,74,74,33.4,8.8,19.9,.443,3.5,8.9,.388,5.3,10.9,.488,.530,3.6,4.2,.857,1.5,3.9,5.5,8.2,1.4,0.3,3.9,3.5,24.7,1,.350,1.241206030150754,60.7
292,2024,Julius Randle,PF,29,NYK,80,80,35.0,7.5,17.3,.431,1.7,5.6,.308,5.8,11.8,.490,.481,4.7,6.5,.723,2.1,7.6,9.7,5.4,0.7,0.2,3.3,2.6,21.4,2,.571,1.2369942196531791,60.31
19,2024,Scottie Barnes,SG,22,TOR,81,81,34.8,7.4,15.8,.468,2.0,5.2,.383,5.4,10.6,.511,.532,3.0,4.0,.747,2.7,6.5,9.2,5.6,1.7,1.3,2.5,2.0,19.8,0,.409,1.2531645569620253,55.64
39,2024,Mikal Bridges,SF,27,BRK,80,80,34.8,8.5,17.2,.493,2.1,5.7,.378,6.3,11.5,.550,.555,4.1,4.8,.860,1.1,5.0,6.0,4.0,1.0,0.6,2.4,1.7,23.2,0,.571,1.3488372093023255,52.16
364,2024,Franz Wagner,SF,22,ORL,81,81,33.1,7.6,16.5,.462,1.6,5.0,.318,6.0,11.5,.524,.510,3.8,4.5,.840,1.2,4.4,5.6,3.7,1.1,0.4,1.7,2.0,20.7,0,.682,1.2545454545454544,43.93
45,2024,Jaylen Brown,SF,27,BOS,79,79,34.0,8.5,18.4,.462,2.4,6.9,.341,6.2,11.5,.535,.526,2.6,3.7,.703,0.6,4.3,4.9,3.3,1.2,0.7,2.5,3.1,22.0,2,.762,1.1956521739130437,37.56
285,2024,Kristaps Porziņģis,C,28,BOS,75,75,30.2,6.6,12.0,.547,1.7,5.0,.338,4.9,7.0,.696,.617,4.3,5.3,.810,1.4,5.0,6.4,1.8,0.8,1.6,1.3,3.3,19.1,0,.762,1.5916666666666668,34.55
