,Year,Name,Position,Age,Team,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Previous Times All-Star,Win Percent,PTS/FGA,% All Star
182,2024,Nikola Jokić,C,28,DEN,81,81,33.5,10.5,19.3,.541,1.2,3.7,.309,9.3,15.6,.596,.571,5.0,6.3,.787,3.3,9.1,12.4,9.5,1.2,0.8,2.7,2.6,27.0,5,.630,1.398963730569948,99.66
88,2024,Luka Dončić,PG,24,DAL,81,81,36.8,11.3,23.0,.488,3.8,10.1,.379,7.4,12.9,.574,.571,6.3,7.9,.800,0.7,7.6,8.3,9.1,1.3,0.5,4.0,1.8,32.7,4,.640,1.4217391304347828,99.54
119,2024,Shai Gilgeous-Alexander,PG,25,OKC,81,81,35.0,11.2,20.7,.542,1.0,3.2,.324,10.2,17.5,.582,.567,7.3,8.0,.913,0.9,4.6,5.5,6.4,2.7,0.8,2.0,2.4,30.7,1,.667,1.4830917874396135,99.24
94,2024,Kevin Durant,PF,35,PHO,78,78,36.7,10.5,20.3,.518,2.3,4.9,.480,8.2,15.5,.529,.575,7.3,8.3,.880,0.3,6.0,6.3,5.6,0.7,1.2,3.4,2.0,30.7,10,.520,1.5123152709359604,99.17
175,2024,LeBron James,PF,39,LAL,80,80,33.8,9.4,17.2,.545,2.3,5.7,.401,7.1,11.5,.616,.611,4.2,5.8,.714,1.0,6.5,7.5,7.0,1.5,0.7,3.4,1.1,25.2,19,.577,1.4651162790697674,99.0
37,2024,Devin Booker,SG,27,PHO,73,73,35.3,9.3,19.1,.484,2.0,4.9,.410,7.3,14.3,.509,.536,7.6,8.3,.917,1.0,4.9,5.9,8.3,0.7,0.4,3.1,3.4,28.1,2,.520,1.4712041884816753,96.94
80,2024,Anthony Davis,C,30,LAL,80,80,35.3,9.0,16.5,.544,0.3,0.8,.333,8.7,15.7,.554,.552,5.8,7.0,.817,3.6,8.9,12.5,3.0,1.1,2.6,2.0,2.7,23.9,6,.577,1.4484848484848485,96.75
109,2024,De'Aaron Fox,PG,26,SAC,76,76,35.5,10.6,22.2,.475,3.2,8.3,.387,7.3,13.9,.528,.548,5.8,7.9,.732,0.9,3.5,4.4,6.4,1.4,0.3,2.6,2.8,30.1,1,.625,1.355855855855856,95.84
78,2024,Stephen Curry,PG,35,GSW,80,80,33.8,9.0,19.1,.469,5.0,11.8,.423,4.0,7.3,.545,.600,6.0,6.4,.939,0.6,4.3,4.9,4.2,0.7,0.3,3.3,1.7,29.0,8,.440,1.5183246073298429,90.28
206,2024,Kawhi Leonard,SF,32,LAC,82,82,34.7,8.8,17.1,.514,2.4,5.4,.441,6.4,11.7,.548,.584,4.0,4.6,.870,1.0,4.9,5.9,3.6,1.6,0.7,1.5,1.5,24.0,5,.600,1.4035087719298245,87.81
316,2024,Domantas Sabonis,C,27,SAC,82,82,35.0,7.1,12.3,.574,0.5,1.3,.387,6.6,11.0,.596,.595,3.8,5.8,.667,3.4,8.9,12.3,7.0,1.0,0.7,3.1,3.3,18.5,3,.625,1.5040650406504064,87.06
358,2024,Karl-Anthony Towns,PF,28,MIN,82,82,33.2,8.1,15.7,.516,2.0,4.8,.430,6.0,10.9,.553,.581,4.2,4.6,.901,1.5,8.0,9.5,3.0,0.9,0.7,2.9,3.3,22.4,3,.792,1.4267515923566878,83.69
97,2024,Anthony Edwards,SG,22,MIN,79,79,33.6,8.5,19.0,.447,2.5,6.3,.394,6.0,12.7,.474,.513,4.8,5.7,.849,0.7,4.6,5.3,5.1,1.3,0.4,3.2,1.9,24.2,1,.792,1.2736842105263158,82.7
398,2024,Zion Williamson,PF,23,NOP,77,77,31.0,9.0,15.4,.583,0.1,0.3,.333,8.9,15.1,.588,.586,4.7,7.1,.660,2.0,3.9,5.8,4.7,1.0,0.3,2.6,2.6,22.8,1,.577,1.4805194805194806,81.64
169,2024,Kyrie Irving,SG,31,DAL,74,74,31.8,8.6,18.2,.471,2.5,6.6,.384,6.1,11.6,.520,.540,3.3,3.6,.903,0.6,3.4,3.9,5.2,1.2,0.3,1.4,1.8,23.0,8,.640,1.2637362637362637,80.78
116,2024,Paul George,PF,33,LAC,81,81,35.0,7.9,17.5,.452,3.1,8.0,.389,4.8,9.5,.507,.542,3.8,4.0,.928,0.7,5.2,5.8,4.2,1.8,0.3,2.3,2.8,22.7,8,.600,1.2971428571428572,72.71
325,2024,Alperen Şengün,C,21,HOU,82,82,32.3,7.9,15.0,.526,0.7,2.4,.308,7.2,12.7,.566,.550,3.2,4.7,.673,2.5,6.5,9.0,5.2,1.0,0.9,2.7,3.2,19.7,0,.591,1.3133333333333332,65.97
138,2024,James Harden,SG,34,LAC,77,77,33.7,4.7,10.2,.461,2.4,5.7,.412,2.4,4.5,.522,.576,4.5,5.2,.865,0.4,4.4,4.7,7.5,1.5,0.8,2.3,2.1,16.3,9,.600,1.5980392156862746,64.12
168,2024,Brandon Ingram,SF,26,NOP,79,79,33.7,8.8,17.8,.493,1.2,4.1,.295,7.6,13.7,.552,.527,4.2,5.2,.800,0.6,4.3,4.9,5.3,0.7,0.2,2.9,2.1,23.0,1,.577,1.2921348314606742,49.01
157,2024,Chet Holmgren,C,21,OKC,82,82,29.9,6.0,11.6,.522,1.5,4.1,.367,4.5,7.5,.606,.586,3.3,3.8,.870,1.7,6.4,8.1,2.4,0.8,2.7,1.9,2.9,16.9,0,.667,1.456896551724138,39.09
