,Year,Name,Age,Team,Position,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Last Game,Last Location,Last Result,Last MP,Last PTS,Last TRB,Last AST,Last STL,Last BLK,Last FG,Last 3P,Last FT,Last TOV,Last PF,Last +/-,Previous Times All-Star,Win Percent,PTS/FGA,% All Star,Unbiased % All Star,Change
0,2025,Giannis Antetokounmpo,30,MIL,PF,80,80,35.0,13.1,21.5,.608,0.2,0.9,.214,12.9,20.6,.624,.612,6.1,10.1,.602,2.1,9.8,11.9,6.4,0.6,1.4,3.3,2.9,32.4,2024-11-23,at CHO,W (+6),31:29,32,11 (9d 2o),6,0,2,12/23 (52.2%),1/3 (33.3%),7/10 (70.0%),4,1,-2,8,.500,1.5069767441860464,99.83,99.25,=
1,2025,Jayson Tatum,26,BOS,PF,82,82,36.3,9.1,19.7,.461,4.0,10.6,.378,5.1,9.2,.557,.563,6.5,8.2,.795,0.5,8.1,8.5,5.8,1.4,0.6,2.8,2.5,28.7,2024-11-29,at CHI,W (+9),35:43,35,14 (13d 1o),5,1,1,12/18 (66.7%),4/8 (50.0%),7/10 (70.0%),3,0,+13,5,.842,1.4568527918781726,99.22,98.07,=
2,2025,Paolo Banchero,22,ORL,PF,66,66,36.4,9.6,19.4,.495,2.2,6.4,.344,7.4,13.0,.569,.552,7.6,11.8,.644,2.4,6.4,8.8,5.6,0.6,0.8,2.2,2.6,29.0,2024-10-30,at CHI,L (-3),37:15,31,7 (7d 0o),4,0,0,12/22 (54.5%),2/9 (22.2%),5/7 (71.4%),4,2,-4,1,.667,1.4948453608247423,97.13,96.57,=
3,2025,Karl-Anthony Towns,29,NYK,C,81,81,33.8,9.3,17.3,.540,2.4,5.2,.468,6.9,12.1,.571,.611,4.7,5.6,.850,2.9,9.7,12.7,3.3,0.8,0.8,2.2,3.4,25.8,2024-11-29,at CHO,W (+1),39:29,19,12 (8d 4o),5,1,2,8/16 (50.0%),2/5 (40.0%),1/1 (100.0%),6,4,+5,4,.579,1.4913294797687862,96.21,92.42,=
4,2025,Damian Lillard,34,MIL,PG,79,79,35.9,7.9,18.0,.441,3.2,9.2,.348,4.7,8.8,.538,.530,6.9,7.5,.920,0.6,3.9,4.5,7.7,0.9,0.2,2.8,1.9,26.0,2024-11-26,at MIA,W (+3),37:54,37,3 (3d 0o),12,1,1,10/17 (58.8%),8/13 (61.5%),9/9 (100.0%),4,2,0,7,.500,1.4444444444444444,90.56,72.7,=
5,2025,Jalen Brunson,28,NYK,PG,82,82,34.9,8.9,18.3,.490,2.5,6.2,.410,6.4,12.1,.530,.559,5.5,6.5,.839,0.4,2.6,3.0,7.8,0.7,0.1,2.3,2.4,25.9,2024-11-29,at CHO,W (+1),36:41,31,6 (6d 0o),6,1,1,9/18 (50.0%),4/6 (66.7%),9/12 (75.0%),2,4,0,1,.579,1.4153005464480872,85.41,82.97,+2
6,2025,Jaylen Brown,28,BOS,SF,78,78,36.5,8.5,19.6,.432,2.6,7.7,.339,5.9,11.9,.492,.498,5.2,6.8,.765,1.4,4.9,6.3,4.3,1.1,0.4,2.5,2.9,24.7,2024-11-29,at CHI,W (+9),36:50,21,2 (1d 1o),4,0,0,7/21 (33.3%),4/10 (40.0%),3/4 (75.0%),3,2,+7,3,.842,1.260204081632653,81.61,71.93,=
7,2025,Donovan Mitchell,28,CLE,SG,81,81,31.7,8.6,19.2,.451,3.6,9.2,.389,5.1,9.9,.508,.544,3.2,3.9,.824,0.6,4.2,4.7,4.0,1.5,0.3,2.0,2.3,24.1,2024-11-29,at ATL,L (-16),35:03,12,11 (9d 2o),6,2,0,5/23 (21.7%),2/10 (20.0%),0/0 (-%),2,3,-13,4,.850,1.2552083333333335,81.54,67.98,-2
8,2025,Trae Young,26,ATL,PG,81,81,36.0,6.5,16.7,.390,2.7,8.4,.327,3.8,8.4,.453,.472,5.9,6.6,.904,0.7,2.9,3.6,12.4,1.3,0.2,4.7,2.1,21.7,2024-11-29,at CLE,W (+16),34:41,21,3 (3d 0o),11,0,0,7/12 (58.3%),2/5 (40.0%),5/5 (100.0%),7,4,+10,3,.450,1.2994011976047903,73.36,61.38,=
9,2025,Franz Wagner,23,ORL,SF,82,82,32.3,8.8,18.5,.474,2.2,6.2,.354,6.6,12.3,.535,.534,3.9,4.5,.853,1.0,4.6,5.5,5.8,1.9,0.4,2.2,2.3,23.6,2024-11-29,at BRK,W (+23),35:10,29,8 (7d 1o),8,2,1,12/20 (60.0%),3/6 (50.0%),2/2 (100.0%),3,0,+35,0,.667,1.2756756756756757,68.84,68.84,+1
10,2025,Darius Garland,25,CLE,PG,81,81,30.5,7.6,15.3,.495,3.0,6.8,.442,4.6,8.5,.537,.593,2.5,2.7,.941,0.6,1.8,2.4,6.8,1.2,0.3,2.5,2.5,20.7,2024-11-29,at ATL,L (-16),33:01,29,3 (2d 1o),5,1,0,11/19 (57.9%),5/8 (62.5%),2/2 (100.0%),2,3,-4,1,.850,1.352941176470588,65.96,61.74,-1
11,2025,LaMelo Ball,23,CHO,PG,81,81,34.1,10.7,24.9,.430,4.7,13.1,.356,6.1,11.8,.512,.523,4.9,5.8,.848,0.9,4.4,5.4,6.9,1.1,0.2,4.5,4.1,31.1,2024-11-27,at MIA,L (-4),36:52,32,10 (8d 2o),7,0,0,11/35 (31.4%),7/20 (35.0%),3/5 (60.0%),7,3,-2,1,.316,1.2489959839357432,62.87,58.5,=
12,2025,Cade Cunningham,23,DET,PG,79,79,36.2,8.8,19.9,.443,2.3,6.2,.375,6.5,13.7,.474,.501,3.5,4.3,.808,1.1,6.1,7.2,9.0,0.9,0.8,4.7,2.6,23.5,2024-11-29,at IND,W (+24),32:58,24,6 (6d 0o),11,2,0,10/19 (52.6%),4/6 (66.7%),0/0 (-%),6,3,+13,0,.429,1.1809045226130654,61.37,61.37,=
13,2025,Jimmy Butler,35,MIA,PF,78,78,31.7,6.0,11.3,.531,0.5,1.6,.333,5.5,9.7,.563,.554,6.5,8.2,.785,2.4,2.8,5.2,4.9,1.2,0.3,1.5,1.3,19.0,2024-11-29,at TOR,W (+10),34:15,26,2 (2d 0o),6,2,0,8/14 (57.1%),2/4 (50.0%),8/9 (88.9%),0,1,+13,4,.529,1.6814159292035398,57.05,38.96,+1
14,2025,Evan Mobley,23,CLE,PF,81,81,31.1,7.1,12.6,.558,0.6,1.9,.324,6.4,10.7,.601,.583,3.4,4.1,.833,2.4,6.9,9.3,2.7,1.1,1.5,2.1,2.1,18.2,2024-11-29,at ATL,L (-16),36:47,24,12 (8d 4o),3,1,0,10/17 (58.8%),0/3 (0.0%),4/4 (100.0%),1,2,-6,0,.850,1.4444444444444444,55.05,55.05,-1
15,2025,Bam Adebayo,27,MIA,C,82,82,35.2,5.9,13.9,.428,0.9,2.8,.333,5.0,11.1,.452,.462,3.0,4.2,.708,2.7,6.6,9.4,4.8,1.8,0.9,1.6,2.1,15.8,2024-11-29,at TOR,W (+10),34:36,14,10 (8d 2o),10,3,0,6/16 (37.5%),2/6 (33.3%),0/1 (0.0%),1,2,0,3,.529,1.1366906474820144,50.67,37.22,+1
16,2025,Tyler Herro,25,MIA,SG,82,82,35.1,8.2,17.6,.465,4.1,9.8,.413,4.1,7.8,.530,.580,3.2,3.7,.857,0.3,5.0,5.3,5.1,0.7,0.1,2.5,1.7,23.6,2024-11-29,at TOR,W (+10),36:36,23,3 (2d 1o),4,1,0,8/18 (44.4%),4/10 (40.0%),3/3 (100.0%),1,0,+16,0,.529,1.3409090909090908,49.48,49.48,-1
17,2025,Nikola Vučević,34,CHI,C,82,82,32.0,8.4,14.5,.577,2.2,4.7,.469,6.2,9.9,.628,.652,2.0,2.3,.837,2.0,8.0,10.0,3.2,0.7,0.9,1.8,2.4,20.9,2024-11-29,at BOS,L (-9),34:05,32,11 (11d 0o),3,0,1,11/16 (68.8%),6/9 (66.7%),4/6 (66.7%),0,3,-19,2,.381,1.4413793103448276,46.04,37.17,=
18,2025,Jalen Johnson,23,ATL,SF,81,81,36.4,7.9,15.9,.495,1.6,4.6,.352,6.3,11.3,.553,.546,2.6,3.5,.746,1.8,8.4,10.3,5.3,1.4,1.1,3.2,2.1,20.1,2024-11-29,at CLE,W (+16),34:59,20,9 (9d 0o),7,1,0,9/14 (64.3%),2/4 (50.0%),0/0 (-%),3,2,+17,0,.450,1.2641509433962266,39.37,39.37,+3
19,2025,Cam Thomas,23,BRK,SG,79,79,33.4,8.1,17.5,.461,2.9,7.4,.389,5.2,10.1,.515,.544,5.7,6.6,.866,0.4,2.9,3.2,3.4,0.7,0.1,2.8,2.0,24.7,2024-11-25,at GSW,W (+8),23:09,23,3 (3d 0o),1,0,0,6/11 (54.5%),3/7 (42.9%),8/8 (100.0%),1,1,-5,0,.450,1.4114285714285715,36.63,36.63,=
20,2025,Pascal Siakam,30,IND,PF,82,82,34.4,8.2,15.0,.545,1.9,4.4,.425,6.3,10.6,.594,.607,2.8,3.5,.800,1.8,4.8,6.6,3.9,0.9,0.2,1.4,2.9,21.0,2024-11-29,at DET,L (-24),34:39,21,9 (7d 2o),2,1,0,9/19 (47.4%),1/6 (16.7%),2/2 (100.0%),1,2,-4,2,.450,1.4,35.7,27.79,=
21,2025,RJ Barrett,24,TOR,SG,79,79,34.3,8.3,18.9,.439,2.0,5.9,.340,6.3,13.0,.484,.492,4.3,6.3,.682,1.0,5.3,6.3,6.3,0.9,0.2,3.4,2.5,22.9,2024-11-29,at MIA,L (-10),38:49,25,6 (5d 1o),7,0,0,10/18 (55.6%),2/4 (50.0%),3/4 (75.0%),6,2,-9,0,.250,1.2116402116402116,34.9,34.9,+1
22,2025,Derrick White,30,BOS,SG,82,82,34.3,6.4,13.4,.476,3.8,9.1,.419,2.6,4.3,.598,.618,1.8,2.1,.850,1.2,3.5,4.7,4.4,0.8,1.1,1.4,2.4,18.3,2024-11-29,at CHI,W (+9),24:02,16,6 (5d 1o),4,1,0,6/10 (60.0%),4/8 (50.0%),0/0 (-%),0,1,-5,0,.842,1.3656716417910448,33.97,33.97,+1
