,Team,Wins,Losses,Percent,Games Back,PPG,OPPG,SRS,Games
0,CLE,7,0,1.000,—,123.1,108.4,12.32,7
1,BOS,6,1,.857,1.0,123.7,112.0,8.37,7
2,MIA,3,2,.600,3.0,108.4,106.8,0.14,5
3,NYK,3,2,.600,3.0,116.0,109.0,8.75,5
4,CHI,3,3,.500,3.5,113.2,116.8,-4.87,6
5,ORL,3,4,.429,4.0,107.9,109.6,-2.05,7
6,ATL,3,4,.429,4.0,118.4,121.7,-4.42,7
7,BRK,3,4,.429,4.0,114.6,115.1,-4.46,7
8,WAS,2,3,.400,4.0,114.0,122.8,-6.40,5
9,IND,2,4,.333,4.5,115.8,121.0,-7.04,6
10,CHO,2,4,.333,4.5,114.3,119.0,-2.56,6
11,TOR,2,5,.286,5.0,119.4,125.6,-6.27,7
12,DET,2,5,.286,5.0,105.0,110.4,-5.03,7
13,PHI,1,4,.200,5.0,107.2,116.4,-15.29,5
14,MIL,1,5,.167,5.5,111.3,118.7,-8.58,6
45,OKC,6,0,1.000,—,115.2,97.5,17.39,6
46,PHO,5,1,.833,1.0,113.8,109.8,7.16,6
47,GSW,5,1,.833,1.0,121.0,103.0,15.00,6
48,DAL,4,2,.667,2.0,110.3,105.3,5.10,6
49,LAL,4,2,.667,2.0,118.3,119.0,2.82,6
50,MEM,4,3,.571,2.5,119.0,116.3,-3.53,7
51,SAS,3,3,.500,3.0,105.2,104.7,3.92,6
52,MIN,3,3,.500,3.0,111.3,112.5,0.05,6
53,HOU,3,3,.500,3.0,112.3,109.5,6.48,6
54,SAC,3,3,.500,3.0,119.5,114.7,0.48,6
55,DEN,3,3,.500,3.0,117.8,116.2,1.25,6
56,NOP,3,4,.429,3.5,108.9,115.9,-5.99,7
57,LAC,2,4,.333,4.0,108.3,110.0,5.78,6
58,POR,2,5,.286,4.5,106.7,114.9,-3.31,7
59,UTA,0,6,.000,6.0,99.8,118.5,-14.96,6
