,Year,Name,Age,Team,Position,Games Played,Games Started,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Last Game,Last Location,Last Result,Last MP,Last PTS,Last TRB,Last AST,Last STL,Last BLK,Last FG,Last 3P,Last FT,Last TOV,Last PF,Last +/-,Previous Times All-Star,Win Percent,PTS/FGA,% All Star,Unbiased % All Star,Change
0,2025,Nikola Jokić,29,DEN,C,79,79,37.4,11.1,19.5,.568,2.2,4.1,.534,8.9,15.4,.577,.625,5.4,6.4,.833,4.2,8.9,13.1,10.6,1.5,0.9,3.6,1.8,29.7,2024-11-27,at UTA,W (+19),33:37,30,10 (7d 3o),7,1,1,13/19 (68.4%),2/3 (66.7%),2/3 (66.7%),1,1,+20,6,.588,1.523076923076923,99.87,99.61,=
1,2025,Anthony Davis,31,LAL,C,81,81,35.3,10.1,18.2,.555,0.7,2.0,.361,9.4,16.2,.579,.575,7.4,9.6,.779,2.7,8.9,11.6,3.4,1.3,2.1,2.0,2.0,28.4,2024-11-29,at OKC,L (-8),37:44,15,12 (10d 2o),7,1,4,5/9 (55.6%),0/0 (-%),5/7 (71.4%),1,2,-5,7,.579,1.5604395604395604,99.41,97.92,+1
2,2025,LeBron James,40,LAL,SF,82,82,35.1,8.4,16.8,.498,2.1,5.4,.388,6.3,11.4,.551,.561,3.5,4.6,.750,0.8,7.4,8.2,9.1,0.7,0.4,4.0,1.1,22.3,2024-11-29,at OKC,L (-8),33:31,12,8 (8d 0o),6,0,0,5/13 (38.5%),0/4 (0.0%),2/2 (100.0%),5,0,-12,20,.579,1.3273809523809523,99.41,81.15,-1
3,2025,Shai Gilgeous-Alexander,26,OKC,SG,82,82,34.5,10.4,20.7,.503,2.1,6.1,.339,8.4,14.7,.570,.552,6.9,8.1,.857,0.9,4.4,5.3,6.6,1.7,1.1,2.8,1.9,29.8,2024-11-29,at LAL,W (+8),36:59,36,6 (3d 3o),9,2,1,13/28 (46.4%),3/10 (30.0%),7/8 (87.5%),3,3,+13,2,.789,1.4396135265700485,97.81,96.87,=
4,2025,James Harden,35,LAC,PG,82,82,34.2,6.2,16.2,.385,2.8,8.1,.341,3.5,8.1,.429,.471,6.3,7.1,.886,0.6,6.5,7.1,8.8,1.7,0.8,4.4,2.0,21.5,2024-11-29,at MIN,L (-1),36:45,20,6 (6d 0o),11,5,0,7/20 (35.0%),3/9 (33.3%),3/4 (75.0%),4,1,-3,9,.571,1.3271604938271606,96.03,82.33,=
5,2025,Kevin Durant,36,PHO,PF,75,75,37.5,9.8,17.8,.551,2.7,6.2,.441,7.1,11.6,.609,.628,5.0,6.1,.821,0.3,6.4,6.6,3.2,0.6,1.5,3.4,1.9,27.4,2024-11-27,at BRK,L (-10),33:03,30,8 (8d 0o),2,0,3,10/18 (55.6%),3/6 (50.0%),7/10 (70.0%),7,3,-2,11,.556,1.539325842696629,95.37,73.3,=
6,2025,Stephen Curry,36,GSW,PG,78,78,29.7,7.4,15.6,.475,4.3,9.6,.444,3.1,6.0,.524,.612,3.3,3.4,.958,0.4,4.9,5.4,6.5,1.6,0.6,3.6,1.3,22.4,2024-11-25,at BRK,L (-8),29:28,28,4 (4d 0o),7,1,0,8/17 (47.1%),8/16 (50.0%),4/4 (100.0%),3,0,-4,9,.667,1.435897435897436,94.73,77.57,=
7,2025,Luka Dončić,25,DAL,PG,77,77,36.6,9.9,22.6,.435,3.2,9.9,.324,6.6,12.7,.522,.506,5.1,6.6,.783,0.6,7.1,7.6,7.6,1.6,0.4,3.3,2.8,28.1,2024-11-19,at NOP,W (+41),29:37,26,5 (5d 0o),5,3,1,10/16 (62.5%),3/8 (37.5%),3/5 (60.0%),3,0,+28,5,.579,1.2433628318584071,92.89,83.95,=
8,2025,Kyrie Irving,32,DAL,SG,81,81,35.4,9.2,18.0,.509,3.1,6.6,.466,6.1,11.4,.534,.594,3.1,3.6,.875,1.1,3.6,4.7,5.4,1.1,0.2,2.0,2.3,24.5,2024-11-27,at NYK,W (+15),34:58,23,7 (6d 1o),6,0,0,10/21 (47.6%),3/9 (33.3%),0/0 (-%),1,4,+5,8,.579,1.3611111111111112,89.24,65.72,=
9,2025,Ja Morant,25,MEM,PG,72,72,27.4,7.2,15.5,.465,1.0,3.8,.263,6.2,11.7,.530,.497,6.0,7.1,.845,0.5,4.0,4.5,9.1,0.8,0.3,4.1,1.6,21.4,2024-11-29,at NOP,W (+11),28:33,27,3 (3d 0o),7,3,0,10/18 (55.6%),0/4 (0.0%),7/7 (100.0%),5,1,+7,2,.650,1.3806451612903226,79.38,72.75,=
10,2025,Alperen Sengun,22,HOU,C,82,82,30.5,7.2,15.2,.475,0.4,1.5,.267,6.8,13.7,.498,.488,3.9,5.1,.765,3.5,7.3,10.7,5.1,1.2,1.3,2.2,2.8,18.7,2024-11-27,at PHI,W (+7),35:19,22,14 (10d 4o),7,2,1,6/11 (54.5%),0/0 (-%),10/12 (83.3%),4,2,+1,0,.700,1.230263157894737,78.01,78.01,=
11,2025,Anthony Edwards,23,MIN,SG,82,82,37.5,9.6,21.2,.453,4.7,10.9,.428,4.9,10.2,.479,.563,3.8,4.8,.802,0.7,4.7,5.4,3.7,1.3,0.6,3.0,2.0,27.7,2024-11-29,at LAC,W (+1),36:01,21,4 (2d 2o),3,2,0,7/21 (33.3%),4/9 (44.4%),3/5 (60.0%),4,0,-5,2,.474,1.3066037735849056,74.23,66.64,+1
12,2025,Jalen Williams,23,OKC,SG,82,82,31.7,8.5,16.4,.516,2.1,5.2,.398,6.4,11.3,.570,.579,2.5,3.1,.797,0.9,5.4,6.3,5.1,2.2,0.9,2.3,2.9,21.5,2024-11-29,at LAL,W (+8),33:58,19,4 (4d 0o),2,2,0,8/19 (42.1%),2/5 (40.0%),1/2 (50.0%),3,3,-3,0,.789,1.3109756097560976,72.29,72.29,-1
13,2025,Oscar Tshiebwe,25,UTA,PF,65,64,16.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,3.0,4.0,.750,3.0,6.0,9.0,0.0,2.0,0.0,1.0,3.0,3.0,2024-11-27,at DEN,L (-19),15:39,3,9 (6d 3o),0,2,0,0/0 (-%),0/0 (-%),3/4 (75.0%),1,3,-6,0,.222,0.0,71.81,71.81,+1
14,2025,Domantas Sabonis,28,SAC,C,80,80,36.6,7.8,12.4,.628,1.1,2.5,.422,6.7,9.9,.680,.670,3.8,4.6,.841,2.9,10.0,12.9,6.4,0.8,0.5,3.7,3.7,20.4,2024-11-29,at POR,L (-9),40:57,21,14 (12d 2o),11,1,1,8/10 (80.0%),2/3 (66.7%),3/4 (75.0%),5,2,-7,3,.450,1.6451612903225805,69.83,57.19,+3
15,2025,Zion Williamson,24,NOP,PF,68,68,31.0,7.8,17.3,.452,0.3,1.0,.333,7.5,16.3,.459,.462,6.7,10.0,.667,2.7,5.3,8.0,5.3,0.7,1.2,3.7,3.0,22.7,2024-11-06,at CLE,L (-9),29:12,29,8 (6d 2o),4,1,1,9/18 (50.0%),0/0 (-%),11/13 (84.6%),4,3,-3,1,.200,1.3121387283236994,69.47,65.46,=
16,2025,Devin Booker,28,PHO,SG,82,82,36.7,8.0,17.9,.446,2.6,7.6,.343,5.4,10.3,.522,.519,6.0,6.8,.885,1.3,2.3,3.6,6.5,0.9,0.4,2.2,2.2,24.6,2024-11-27,at BRK,L (-10),38:44,31,3 (2d 1o),4,0,0,8/18 (44.4%),3/9 (33.3%),12/13 (92.3%),3,5,-9,3,.556,1.3743016759776538,68.47,55.62,=
17,2025,De'Aaron Fox,27,SAC,PG,82,82,37.8,10.1,20.2,.499,2.1,6.2,.339,8.0,14.0,.570,.551,5.5,6.9,.803,0.9,4.1,5.0,5.8,1.6,0.1,3.7,2.7,27.7,2024-11-29,at POR,L (-9),36:18,22,5 (3d 2o),5,0,0,8/18 (44.4%),1/6 (16.7%),5/7 (71.4%),5,5,-9,1,.450,1.3712871287128714,65.6,61.36,-4
18,2025,DeMar DeRozan,35,SAC,SF,77,77,36.3,8.5,16.8,.508,0.7,2.3,.294,7.9,14.5,.541,.528,4.9,5.9,.820,0.5,3.6,4.1,4.1,1.5,0.6,1.9,1.5,22.6,2024-11-25,at OKC,L (-21),35:31,30,2 (2d 0o),6,1,0,13/21 (61.9%),0/2 (0.0%),4/4 (100.0%),0,1,-14,6,.450,1.3452380952380953,55.9,29.69,=
19,2025,Chet Holmgren,22,OKC,C,73,73,26.5,5.6,11.1,.505,1.4,3.7,.378,4.2,7.4,.568,.568,3.8,4.9,.776,1.6,7.1,8.7,2.0,0.8,2.6,2.3,1.8,16.4,2024-11-10,at GSW,L (-11),5:10,0,4 (4d 0o),0,0,0,0/3 (0.0%),0/2 (0.0%),0/0 (-%),0,0,+4,0,.789,1.4774774774774775,47.55,47.55,=
20,2025,Isaiah Hartenstein,26,OKC,C,67,66,32.0,6.0,10.5,.571,0.0,0.0,0,6.0,10.5,.571,.571,2.3,3.3,.692,3.0,11.0,14.0,3.8,0.3,1.8,2.5,3.3,14.3,2024-11-29,at LAL,W (+8),36:52,11,18 (15d 3o),5,1,1,4/7 (57.1%),0/0 (-%),3/4 (75.0%),2,2,+3,0,.789,1.361904761904762,45.33,45.33,+5
21,2025,Jaren Jackson Jr.,25,MEM,C,80,80,28.3,8.0,15.5,.516,1.7,5.2,.330,6.3,10.3,.611,.572,4.5,5.6,.810,1.6,4.2,5.8,1.3,1.3,1.8,2.2,3.2,22.2,2024-11-29,at NOP,W (+11),28:17,23,8 (5d 3o),1,1,2,9/18 (50.0%),0/5 (0.0%),5/5 (100.0%),1,3,+3,1,.650,1.432258064516129,43.62,39.18,-1
22,2025,Victor Wembanyama,21,SAS,C,79,79,32.1,8.7,18.3,.474,3.1,9.3,.338,5.6,9.1,.614,.560,2.9,3.3,.868,2.1,7.9,10.0,3.1,1.3,3.6,3.5,1.9,23.4,2024-11-27,at LAL,L (-18),33:24,20,10 (7d 3o),2,2,3,9/20 (45.0%),2/9 (22.2%),0/0 (-%),4,1,-13,0,.526,1.2786885245901638,42.2,42.2,=
23,2025,Norman Powell,31,LAC,SG,76,76,33.4,8.1,16.5,.490,3.9,7.9,.487,4.2,8.5,.492,.607,3.3,4.0,.817,0.3,2.8,3.1,2.3,1.1,0.2,2.1,1.9,23.3,2024-11-18,at GSW,W (+3),25:43,23,1 (1d 0o),0,1,0,9/15 (60.0%),5/6 (83.3%),0/0 (-%),4,0,+3,0,.571,1.412121212121212,41.85,41.85,-2
24,2025,Chris Paul,39,SAS,PG,82,82,28.4,3.6,7.8,.456,1.9,5.1,.371,1.7,2.7,.615,.577,1.5,1.5,1.000,0.4,3.2,3.6,8.2,1.4,0.2,1.8,1.9,10.6,2024-11-27,at LAL,L (-18),24:35,5,2 (2d 0o),6,1,0,1/6 (16.7%),0/4 (0.0%),3/3 (100.0%),0,2,+1,11,.526,1.358974358974359,39.57,8.03,-1
25,2025,Julius Randle,30,MIN,PF,82,82,34.3,7.3,14.5,.502,1.6,4.7,.337,5.7,9.8,.581,.556,5.1,6.3,.807,1.8,5.1,6.9,4.1,0.7,0.1,2.9,2.6,21.2,2024-11-29,at LAC,W (+1),30:16,11,10 (10d 0o),4,0,0,4/9 (44.4%),1/5 (20.0%),2/2 (100.0%),3,2,-5,2,.474,1.4620689655172414,38.57,30.33,-1
26,2025,Russell Westbrook,36,DEN,PG,82,68,24.6,4.0,10.2,.391,1.4,3.8,.375,2.6,6.5,.400,.460,2.8,4.1,.681,0.9,3.2,4.1,5.9,1.5,0.6,2.6,2.4,12.2,2024-11-27,at UTA,W (+19),19:26,10,1 (1d 0o),5,2,1,3/9 (33.3%),1/4 (25.0%),3/4 (75.0%),3,0,+6,9,.588,1.196078431372549,33.82,8.95,=
27,2025,Andrew Wiggins,29,GSW,SF,80,80,28.4,5.9,12.8,.463,2.1,5.2,.410,3.8,7.6,.500,.546,3.4,4.4,.761,1.8,2.6,4.4,2.3,0.8,0.8,0.9,1.8,17.4,2024-11-27,at OKC,L (-4),35:03,16,5 (2d 3o),2,1,1,4/16 (25.0%),3/8 (37.5%),5/7 (71.4%),1,1,-4,1,.667,1.3593749999999998,27.41,23.92,=
